Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount
261ed57c-2857-4902-a406-a7cc25e8e6bf,0005b08b-bc0a-4572-b8ff-be2283145075,10-10-2021,68.22
36b0819e-a313-4014-937c-5928882f2d08,0005b08b-bc0a-4572-b8ff-be2283145075,18-08-2023,267.72
beee4c6d-43c4-40ba-84f6-5e495ad98cd1,0005b08b-bc0a-4572-b8ff-be2283145075,01-10-2020,403.18
df4979b2-432f-4097-851a-66cebbf08098,0005b08b-bc0a-4572-b8ff-be2283145075,28-09-2024,179.37
112e9303-4746-4589-b9f4-47b1f1de9908,00400253-8af2-48e5-a770-921729ac402f,03-04-2022,42.85
25875e82-4c01-40e0-a387-0d1cc311b5d9,00400253-8af2-48e5-a770-921729ac402f,25-06-2023,299.68
33f502a3-b582-4bb9-a7c4-988bcb28935d,00400253-8af2-48e5-a770-921729ac402f,29-08-2022,409.77
36c67ac8-ee65-43c4-84a5-bad4133a0680,00400253-8af2-48e5-a770-921729ac402f,07-03-2021,342.08
4876f2b6-080e-4c92-89c9-65f72a77bdd5,00400253-8af2-48e5-a770-921729ac402f,24-02-2023,371.98
5c32606a-bf1f-48d4-ae56-3ce87d1e3c18,00400253-8af2-48e5-a770-921729ac402f,02-04-2023,135.78
0d12aa59-993b-4ac0-8be0-46f949f08f2c,00606294-3e96-410d-8433-8a6ebea7c2ee,15-02-2023,80.98
12c726da-e33e-4217-8e0a-9d485056a046,00606294-3e96-410d-8433-8a6ebea7c2ee,21-07-2020,190.15
59d69a20-135a-4b88-8a5f-f68aaf59cf6d,00606294-3e96-410d-8433-8a6ebea7c2ee,31-08-2022,299.6
722ab3d3-d2a1-4f74-aa71-b0743f95bf63,00606294-3e96-410d-8433-8a6ebea7c2ee,11-07-2022,331.72
e7bf0d54-c6df-40c8-b184-18bf45397581,00606294-3e96-410d-8433-8a6ebea7c2ee,16-10-2024,50.35
0e62f2ad-9dad-4928-9d28-cca0fc1eafae,0077b765-70b0-478c-a96d-e6f225b21e2b,10-03-2021,321.25
22c1a321-305c-4abd-9d77-7c8539858d4a,0077b765-70b0-478c-a96d-e6f225b21e2b,11-11-2023,473.86
82839f76-9d1f-48c7-bd42-fa7550b2c980,0077b765-70b0-478c-a96d-e6f225b21e2b,02-02-2021,196.88
a8f45800-9ffd-4165-9608-cc6f3125d302,0077b765-70b0-478c-a96d-e6f225b21e2b,06-02-2022,71.05
d7ddd9f6-957b-498a-a153-0818aaa53999,0077b765-70b0-478c-a96d-e6f225b21e2b,31-05-2023,394.26
9370960b-9c33-4526-858a-d21c23899c7f,00c6fbea-ac50-4f3e-9627-1a95f77e10f8,15-11-2020,489.32
9b5a44a3-bf5d-42e9-8955-d5e6b2d7b1bf,00c6fbea-ac50-4f3e-9627-1a95f77e10f8,12-06-2021,59.78
d982b7ae-b559-47c8-8848-66cfbde9b3d9,00c6fbea-ac50-4f3e-9627-1a95f77e10f8,26-09-2021,208.98
1e088557-a56c-4716-9073-df9beddb9430,013dbef5-95dc-4838-9af7-1bae1f9b516f,11-04-2024,278.49
785070a1-f775-4fdf-9358-600fdb9d993e,013dbef5-95dc-4838-9af7-1bae1f9b516f,23-07-2024,327.52
82032d05-fa7a-4aca-bd38-bf78e2bb44ee,013dbef5-95dc-4838-9af7-1bae1f9b516f,25-07-2024,332
72f5b957-ea5e-4659-8ad6-64a4ec48bfca,01edb965-563c-485f-8bbb-2b1656e7c586,11-11-2021,398.2
9a092309-2b23-474e-9822-361ec9b03c50,01edb965-563c-485f-8bbb-2b1656e7c586,21-09-2023,449.51
c08809de-9a21-4a79-9a9f-f1022c1bf074,01edb965-563c-485f-8bbb-2b1656e7c586,09-06-2020,93.28
2fac18e7-4cfa-4810-aa95-a3d1fd04d61c,01f42dac-bc92-494f-8e92-aad9ff58aeaa,12-01-2022,318.16
9f703bfa-79d3-42fe-8f01-859b8fc9e01c,01f42dac-bc92-494f-8e92-aad9ff58aeaa,11-07-2021,448.56
0656863c-15bd-4095-a2a3-15f1bd28a24b,01fc82d0-356f-443f-9562-8aa6c4e628f8,28-03-2024,298.98
3b7de16f-fa5c-46bd-b12e-76b95cfbec5f,01fc82d0-356f-443f-9562-8aa6c4e628f8,20-09-2024,152.97
454255e0-70ee-4498-ad6b-511ec723eee0,01fc82d0-356f-443f-9562-8aa6c4e628f8,14-01-2023,450.44
4ef38659-bfe0-4270-b130-b78648146549,01fc82d0-356f-443f-9562-8aa6c4e628f8,04-02-2024,230.44
5915bc6e-39eb-4ff8-9de0-dc9794fa2100,01fc82d0-356f-443f-9562-8aa6c4e628f8,18-11-2020,269.14
615c9a6e-ceb5-499b-b13f-31165088408f,01fc82d0-356f-443f-9562-8aa6c4e628f8,15-07-2020,384.72
727866bd-f531-4689-8b19-36bcc43c22d1,01fc82d0-356f-443f-9562-8aa6c4e628f8,27-11-2022,498.15
7dc59f0b-04ac-411e-90cc-bb636dd982b2,01fc82d0-356f-443f-9562-8aa6c4e628f8,22-04-2023,84.52
c9d56ca6-a78d-40ae-b2f1-9f525f57b143,01fc82d0-356f-443f-9562-8aa6c4e628f8,12-11-2020,326.56
fb6c5d6b-79e2-43fb-bbba-3216bcc3aa06,01fc82d0-356f-443f-9562-8aa6c4e628f8,29-07-2022,484.86
0b885fe9-9d56-455c-94ba-70ca91a8ba3f,03423de9-f89a-4ea6-ac48-c8ede1618e8f,27-08-2021,383.63
208247cf-86a4-4123-9a70-e785a114df7f,03423de9-f89a-4ea6-ac48-c8ede1618e8f,14-01-2023,184.4
4d7a37be-3d05-48ce-821f-14c2f74f6156,03423de9-f89a-4ea6-ac48-c8ede1618e8f,28-01-2022,215.03
76e386bd-08c9-4955-9b02-8b133f2fbed3,03423de9-f89a-4ea6-ac48-c8ede1618e8f,20-02-2021,63.67
ff36ad41-f58f-4c01-a827-4a2ec900d51c,03423de9-f89a-4ea6-ac48-c8ede1618e8f,05-10-2023,253.77
3e3fb081-840b-4b7f-9f8b-832b16bb2cd8,03526795-6ee2-4047-953c-fa334b040bb2,09-06-2021,390.9
925fb94c-4a70-46cb-9769-961c2182fd68,03526795-6ee2-4047-953c-fa334b040bb2,01-08-2023,438.75
993e9d28-1357-4577-9bee-70312f676a97,03526795-6ee2-4047-953c-fa334b040bb2,13-06-2024,129.83
a1cbac4a-9f0e-4c92-a631-6609ff4b3d95,03526795-6ee2-4047-953c-fa334b040bb2,04-11-2024,171.34
d5ceb531-e3e0-4d7f-a352-79126edd3006,03526795-6ee2-4047-953c-fa334b040bb2,30-11-2021,51.98
e5e5e844-afdd-4048-808c-06026221c373,03526795-6ee2-4047-953c-fa334b040bb2,24-12-2021,300.22
2af08587-a5e7-40bd-b642-102ebae3f240,036dfe29-a362-481d-8c5d-5f39ee884db5,23-09-2023,37.07
6d19e809-85d9-45a4-b491-dd7b3c51c8fa,036dfe29-a362-481d-8c5d-5f39ee884db5,29-05-2021,133.06
73ac7436-701f-4198-a35a-1ca48fd52e51,036dfe29-a362-481d-8c5d-5f39ee884db5,05-11-2021,254.06
f3a83c70-baea-4012-ab9d-9aec7ac1f623,036dfe29-a362-481d-8c5d-5f39ee884db5,20-03-2020,490.6
212e0c67-a4ac-4cd1-9121-bf5daa0e2de2,03c7831c-8caa-4e54-b9b7-5b1df4157168,30-05-2021,487.36
4400bb36-7e53-420f-a244-cf64e1916d71,03c7831c-8caa-4e54-b9b7-5b1df4157168,20-01-2020,149.04
4f705c9f-62e0-4661-8171-cfd4e90fa2ba,03c7831c-8caa-4e54-b9b7-5b1df4157168,25-01-2020,152.28
5db39189-1dab-46ae-8b75-2832396a4658,03c7831c-8caa-4e54-b9b7-5b1df4157168,24-11-2023,309.15
d3629e62-46f7-40fa-9c71-4fb1185c01aa,03c7831c-8caa-4e54-b9b7-5b1df4157168,08-02-2024,387.07
d7805d46-1bd4-413d-826a-b39d7c11fa3a,03c7831c-8caa-4e54-b9b7-5b1df4157168,12-07-2020,33.97
e381e581-62c2-4f50-906c-2061ee1e1dfb,03c7831c-8caa-4e54-b9b7-5b1df4157168,29-03-2021,323.44
fa77ac4b-b152-446f-af39-6ebb7fccadc5,03c7831c-8caa-4e54-b9b7-5b1df4157168,13-11-2022,69.92
386d9bee-e3a2-499b-9166-72242ff615b3,0406ff65-1668-417e-9884-318bd9d18656,26-02-2020,366.03
45c91060-806e-428c-b320-594381732975,0406ff65-1668-417e-9884-318bd9d18656,23-08-2023,279.37
b29488d3-f6b8-4838-9b78-9d4bdda463d4,0406ff65-1668-417e-9884-318bd9d18656,10-10-2020,403.76
c4612e02-0a30-475c-9316-a59600f88681,0406ff65-1668-417e-9884-318bd9d18656,12-06-2022,295.3
dce6de76-47fa-4983-aa9b-06c3d362437e,0406ff65-1668-417e-9884-318bd9d18656,25-08-2023,86.92
968a2912-364a-4fa3-b8af-ef21ab26e224,047c105c-2534-4910-a1bc-8a9ffaf9973b,01-03-2020,116
9ebe59d9-531a-40dc-bdf7-a9da1a8eb558,047c105c-2534-4910-a1bc-8a9ffaf9973b,06-10-2021,285.81
dcf42281-0808-45a4-998c-00c3e8ebda60,047c105c-2534-4910-a1bc-8a9ffaf9973b,24-04-2024,410.6
ef5b103e-ac54-458d-ace6-93ed729882e9,047c105c-2534-4910-a1bc-8a9ffaf9973b,19-08-2024,177.51
fb367646-549e-4d1b-9cf8-f27f9b773ad9,047c105c-2534-4910-a1bc-8a9ffaf9973b,15-11-2022,333.46
0977a0fc-93d8-41d7-b1a8-609ed2a4290a,0498e3df-f493-43bb-b044-c9629b0277f1,30-06-2020,464
35f3f07f-bbdf-47d9-9e95-3a2dcf79ba8d,0498e3df-f493-43bb-b044-c9629b0277f1,02-11-2020,38.78
43af77ff-5146-4c72-b239-c9fcdcc1b68b,0498e3df-f493-43bb-b044-c9629b0277f1,02-12-2021,382.18
8c65b534-2f4a-4b0b-9d25-8eec4dfa2880,0498e3df-f493-43bb-b044-c9629b0277f1,26-05-2020,199.49
cd6e010f-329c-4373-81b0-3a621b34d750,0498e3df-f493-43bb-b044-c9629b0277f1,17-10-2021,152.43
2487ed4b-020e-4218-a7b6-a164cb1730a2,04a86e70-8848-4e94-83d0-f8285cd6e6c2,26-05-2021,219.95
